Wavelength (nm),Reflectance Factor (%)
250,94.165145
251,94.381093
252,94.614658
253,94.757922
254,94.916205
255,95.049609
256,95.144948
257,95.21169
258,95.316506
259,95.432622
260,95.485347
261,95.529111
262,95.491885
263,95.524646
264,95.51966
265,95.564062
266,95.645518
267,95.650304
268,95.710884
269,95.632981
270,95.61063
271,95.666888
272,95.66781
273,95.585423
274,95.637673
275,95.696806
276,95.708528
277,95.665346
278,95.790005
279,95.799461
280,95.792142
281,95.865834
282,95.943205
283,95.973412
284,95.98388
285,95.995208
286,96.055026
287,96.086864
288,96.105025
289,96.078125
290,96.199743
291,96.229646
292,96.278165
293,96.417929
294,96.364976
295,96.417165
296,96.352996
297,96.542379
298,96.551343
299,96.380167
300,96.476465
301,96.466129
302,96.544264
303,96.669838
304,96.57398
305,96.571293
306,96.615039
307,96.644188
308,96.580139
309,96.792441
310,96.516958
311,96.605255
312,96.567223
313,96.677125
314,96.705386
315,96.525105
316,96.6631
317,96.483614
318,96.545648
319,96.352937
320,96.67726
321,96.463525
322,96.388158
323,96.399804
324,96.179012
325,96.298226
326,96.047723
327,96.128927
328,95.984155
329,96.054351
330,96.115352
331,95.864856
332,96.058487
333,95.996972
334,95.883348
335,96.068065
336,96.048363
337,95.976857
338,95.967788
339,96.152561
340,96.157612
341,95.928286
342,96.024851
343,96.177871
344,96.089871
345,96.15382
346,95.999992
347,95.937998
348,96.025699
349,95.971153
350,96.0342
351,95.87465
352,95.922176
353,95.873299
354,95.834908
355,95.963867
356,95.992687
357,96.01819
358,95.943075
359,95.99832
360,95.839878
361,95.803796
362,95.97662
363,95.932021
364,96.060158
365,95.867786
366,95.936266
367,95.857138
368,95.807048
369,95.701813
370,95.882768
371,96.011422
372,95.923228
373,95.91262
374,95.956143
375,95.884418
376,95.986066
377,95.815949
378,95.879431
379,95.966479
380,95.953075
381,95.911973
382,95.858177
383,95.865803
384,95.885138
385,95.853882
386,95.943818
387,95.874878
388,95.819133
389,95.86026
390,95.913691
391,95.860977
392,95.865072
393,95.827541
394,95.835763
395,95.849497
396,95.810699
397,95.868274
398,95.837949
399,95.820641
400,95.866179
401,95.89831
402,95.88593
403,95.920844
404,95.960072
405,95.934028
406,95.908459
407,95.889024
408,95.88668
409,95.858423
410,95.787232
411,95.847607
412,95.799621
